decline_code,decline_reason,decline_family,policy_class,automatic_retry_allowed,customer_action_required,recommended_wait_min_minutes,recommended_wait_max_minutes,operational_action,customer_action,source_basis,source_url,policy_note
00,Success,approved,no_retry,false,false,0,0,Complete payment,None,Project status convention,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Successful authorization
51,Insufficient Funds,funds,delayed_retry,true,false,60,1440,Retry later with a capped attempt policy,Add funds or use another payment method,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Timing is a portfolio assumption rather than a processor guarantee
05,Do Not Honor,generic_issuer,customer_action,false,true,0,0,Do not automatically retry,Contact issuer or use another payment method,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Generic issuer decline with limited diagnostic value
91,Issuer or Switch Unavailable,technical,technical_retry,true,false,2,45,Retry with backoff and attempt cap,Try again later,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Short retry window is a project assumption
65,Activity Limit Exceeded,limit,delayed_retry,true,false,60,1440,Retry later with an attempt cap,Wait or contact issuer,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Do not retry immediately
1A,Additional Authentication Required,authentication,customer_action,false,true,0,30,Pause automated retries and request authentication,Complete authentication or use another payment method,Stripe authentication guidance,https://support.stripe.com/questions/authenticated-payment-declined-with-an-authentication_required-decline-code?locale=en-GB,Retry only after authentication action
59,Suspected Fraud,risk,hard_decline,false,true,0,0,Block automated retry and route to verification,Contact issuer or use a verified payment method,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Never treat as a routine recovery opportunity
14,Invalid Card Number,invalid_payment_data,data_correction,false,true,0,0,Do not retry unchanged credentials,Correct card details or use another payment method,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Retry requires corrected payment data
54,Expired Card,invalid_payment_data,data_correction,false,true,0,0,Do not retry the expired credential,Update card details or use another payment method,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Retry requires updated payment data
57,Transaction Not Permitted,restriction,hard_decline,false,true,0,0,Do not automatically retry,Contact issuer or use another payment method,Public decline semantics and Stripe hard-decline guidance,https://docs.stripe.com/billing/revenue-recovery/smart-retries,Processor-specific behavior can differ
97,Invalid CVV,invalid_payment_data,data_correction,false,true,0,0,Do not retry unchanged credentials,Correct the security code,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Retry requires corrected payment data
92,Unable to Route,technical,technical_retry,true,false,2,45,Retry with backoff or alternate routing,Try again later,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Short retry window is a project assumption
96,System Error,technical,technical_retry,true,false,2,45,Retry with backoff and attempt cap,Try again later,Public decline semantics and project policy,https://stripe.com/resources/more/a-complete-list-of-decline-codes,Short retry window is a project assumption
